QueryORF	QueryGene	ExperimentOutcome	PredictionScore	Literature	FinalCategory
YDR201W	SPC19	Indispensable	0,36		Core
YDR211W	GCD6	Indispensable	0,28		Core
YDR212W	TCP1	Indispensable	0,23		Core
YDR224C	HTB1		0,44		Core
YDR228C	PCF11	Indispensable	0,19		Core
YDR232W	HEM1	Indispensable	0,63		Core
YDR235W	PRP42	Indispensable	0,22		Core
YDR236C	FMN1	Indispensable	0,47		Core
YDR238C	SEC26		0,26		Core
YDR246W	TRS23		0,32		Core
YDR267C	CIA1	Indispensable	0,44		Core
YDR280W	RRP45		0,18		Core
YDR288W	NSE3	Indispensable	0,31		Core
YDR299W	BFR2	Indispensable	0,17		Core
YDR301W	CFT1	Indispensable	0,23		Core
YDR302W	GPI11		0,43		Core
YDR303C	RSC3	Indispensable	0,48		Core
YDR308C	SRB7	Indispensable	0,36		Core
YDR311W	TFB1	Indispensable	0,24		Core
YDR320C-A	DAD4		0,32		Core
YDR324C	UTP4	Indispensable	0,21		Core
YDR325W	YCG1		0,44		Core
YDR328C	SKP1	Indispensable	0,33		Core
YDR331W	GPI8	Indispensable	0,36		Core
YDR339C	FCF1	Indispensable	0,20		Core
YDR341C	YDR341C	Indispensable	0,41		Core
YDR356W	SPC110		0,43		Core
YDR361C	BCP1	Indispensable	0,52		Core
YDR362C	TFC6	Indispensable	0,40		Core
YDR365C	ESF1	Indispensable	0,24		Core
YDR367W	KEI1	Indispensable	0,48		Core
YDR376W	ARH1	Indispensable	0,45		Core
YDR390C	UBA2	Indispensable	0,60		Core
YDR394W	RPT3	Indispensable	0,19		Core
YDR398W	UTP5		0,24		Core
YDR404C	RPB7	Indispensable	0,28		Core
YDR407C	TRS120	Indispensable	0,41		Core
YDR412W	RRP17	Indispensable	0,42		Core
YDR416W	SYF1	Indispensable	0,18		Core
YDR429C	TIF35	Indispensable	0,26		Core
YDR434W	GPI17	Indispensable	0,40		Core
YDR437W	GPI19	Indispensable	0,64		Core
YDR449C	UTP6	Indispensable	0,17		Core
YDR454C	GUK1	Indispensable	0,46		Core
YDR460W	TFB3	Indispensable	0,25		Core
YDR464W	SPP41	Indispensable	0,50		Core
YDR472W	TRS31	Indispensable	0,39		Core
YDR473C	PRP3	Indispensable	0,29		Core
